Target	Compound	True	RFR	MLPR	LR	Keras
CHEMBL260	CHEMBL2409781	-6.907755	-6.107338527297377	-6.09811883351402	-6.115755847336592	-6.528015613555908
CHEMBL4722	CHEMBL604485	-5.703782	-5.050143048299287	-4.433013326307684	-5.295241305241953	-4.880164623260498
CHEMBL2695	CHEMBL2414545	-6.369901	-6.8553906224992	-7.195734782631056	-6.604762367734506	-7.240243434906006
CHEMBL3038477	CHEMBL3924407	-2.302585	-2.9724167926444407	-1.9522520256347402	-3.1174533361039574	-2.5349738597869873
CHEMBL2996	CHEMBL306623	-3.555348	-3.0719014838749406	-4.183960073762023	-3.6344650992300847	-3.1713290214538574
CHEMBL4722	CHEMBL2071201	-1.098612	-4.164734326159543	-2.8377987950057713	-3.833679472162993	-2.558159828186035
CHEMBL2148	CHEMBL385937	-2.995732	-5.810408446628749	-4.260282597646215	-6.207304642290151	-4.034618854522705
CHEMBL2147	CHEMBL3973689	-2.197225	-3.443637115417974	-4.353363731343895	-3.364828743936735	-4.040071964263916
CHEMBL5147	CHEMBL1241587	-8.006368	-7.552626981643357	-8.846490391100788	-7.439616967270063	-8.779434204101562
CHEMBL308	CHEMBL1964260	-3.663562	-4.369325665899555	-3.376988651858005	-4.1297215323339875	-3.700972557067871
CHEMBL3234	CHEMBL1242294	-2.70805	-5.2789053274763	-3.3475017961641393	-5.7468184607068515	-4.305723190307617
CHEMBL4523	CHEMBL1910914	-2.302585	-4.1917593780893405	-2.7327910403251545	-5.292584911417785	-3.04722261428833
CHEMBL2358	CHEMBL3931631	-6.907755	-7.059922239694224	-7.05478561039883	-7.206763663392481	-7.0594587326049805
CHEMBL1936	CHEMBL3086175	-4.787492	-5.775797497500897	-4.1030472382029775	-4.854833974227816	-5.2014665603637695
CHEMBL3629	CHEMBL3681199	-4.094345	-3.7097568020622496	-4.4557241424686165	-4.387105953651228	-3.700172185897827
CHEMBL279	CHEMBL607707	-8.049108	-5.790918252015886	-8.460976140867508	-6.037992484832234	-7.27937650680542
CHEMBL1824	CHEMBL3930270	-5.438079	-3.966386083053727	-4.475902416229038	-4.047701983499358	-4.323053359985352
CHEMBL203	CHEMBL3905242	-5.459586	-5.4025717769332005	-5.159929675359008	-5.552757977126813	-5.646419525146484
CHEMBL1862	CHEMBL381743	-6.907755	-5.483873234749387	-4.588036262449587	-5.010195881720712	-4.504276275634766
CHEMBL3629	CHEMBL2087021	-8.411833	-8.718065	-8.746141625827015	-7.730798240767336	-8.384389877319336
CHEMBL3553	CHEMBL3747305	-7.154615	-5.42587229828627	-7.0288304407756454	-4.132633836797049	-5.445402145385742
CHEMBL203	CHEMBL3797606	-5.60433	-5.525584100352941	-5.6242076296945385	-4.343678066965948	-4.629443168640137
CHEMBL3529	CHEMBL3939994	-6.907755	-5.667929074695552	-6.425762038235504	-5.368779829212521	-6.190731525421143
CHEMBL203	CHEMBL596957	-4.276666	-4.594772698025595	-4.923746760005634	-5.816804312494723	-5.419017791748047
CHEMBL1936	CHEMBL1823220	-7.792349	-8.45064981076923	-7.626286996164233	-9.078031828930582	-7.905368804931641
CHEMBL299	CHEMBL1996510	0.693147	-2.972582618766112	-0.9633346343140765	-1.7837951834016863	-2.3420140743255615
CHEMBL1824	CHEMBL214419	-5.886104	-4.725459985663432	-4.940603583942422	-4.385598784715985	-4.556886672973633
CHEMBL203	CHEMBL3752337	-6.907755	-4.921444807682706	-4.186117946000396	-3.955690306480225	-4.709444046020508
CHEMBL4040	CHEMBL4089159	-4.110874	-6.939436799999997	-4.525507009703584	-6.137615564070454	-4.879621505737305
CHEMBL279	CHEMBL3892632	-8.703772	-7.579366088972605	-8.144922293053227	-7.270650768774219	-8.091076850891113
CHEMBL203	CHEMBL2325098	-6.565265	-5.309132613701025	-4.437062779192885	-5.8825062848379925	-4.849058151245117
CHEMBL2148	CHEMBL3675908	-6.907755	-5.919020208017153	-5.5503845393115565	-6.477028343094053	-5.03782320022583
CHEMBL2828	CHEMBL3965423	-3.941582	-1.9428730846640552	-2.878793298635083	-2.4074367450063776	-2.651125907897949
