Target-ID	Compound-ID	Std-value
CHEMBL4523	CHEMBL3703183	7.0
CHEMBL5491	CHEMBL511992	13.0
CHEMBL3920	CHEMBL3958917	0.43
CHEMBL279	CHEMBL3896476	6.1
CHEMBL1974	CHEMBL403776	1.0
CHEMBL1981	CHEMBL3823256	4.7
CHEMBL3920	CHEMBL3896642	3.6
CHEMBL5408	CHEMBL3909307	15.0
CHEMBL3038477	CHEMBL3956122	10.0
CHEMBL2185	CHEMBL2380833	0.7
CHEMBL4282	CHEMBL3701727	3.9
CHEMBL2815	CHEMBL1231124	3.0
CHEMBL2094128	CHEMBL270687	3.0
CHEMBL2147	CHEMBL3981344	6.067
CHEMBL2185	CHEMBL3928949	14.0
CHEMBL299	CHEMBL3957715	0.13
CHEMBL1936	CHEMBL2430251	2.1
CHEMBL2185	CHEMBL1094705	8.0
CHEMBL1868	CHEMBL3765306	7.7
CHEMBL3116	CHEMBL3960348	3.0
CHEMBL3920	CHEMBL3890986	2.8
CHEMBL2185	CHEMBL3680497	18.0
CHEMBL3973	CHEMBL3701266	1.7
CHEMBL2147	CHEMBL3691928	0.02
CHEMBL4142	CHEMBL3921457	3.981
CHEMBL4247	CHEMBL1940181	1.1
CHEMBL2431	CHEMBL3672044	11.0
CHEMBL3797	CHEMBL3970378	0.434
CHEMBL5407	CHEMBL3691986	1.52
CHEMBL2007	CHEMBL1668411	0.24
CHEMBL260	CHEMBL3780111	11.0
CHEMBL3650	CHEMBL4086340	6.5
CHEMBL3650	CHEMBL3889493	9.12
CHEMBL2148	CHEMBL2381986	4.0
CHEMBL3616	CHEMBL2151412	20.0
CHEMBL2111414	CHEMBL373101	1.3
CHEMBL1955	CHEMBL390156	3.0
CHEMBL4523	CHEMBL3946212	1.527
CHEMBL3650	CHEMBL3942328	1.023
CHEMBL3650	CHEMBL3934355	12.02
CHEMBL1913	CHEMBL1171837	1.2
CHEMBL1868	CHEMBL204427	10.0
CHEMBL5407	CHEMBL3394074	1.0
CHEMBL1824	CHEMBL214487	24.0
CHEMBL1974	CHEMBL2181323	30.0
CHEMBL2971	CHEMBL3665146	0.0464
CHEMBL258	CHEMBL385937	0.2
CHEMBL5331	CHEMBL3092792	0.7
CHEMBL2959	CHEMBL495181	1.0
CHEMBL5570	CHEMBL3660764	7.74
CHEMBL301	CHEMBL565137	29.0
CHEMBL203	CHEMBL565714	21.0
CHEMBL1974	CHEMBL3322566	2.1
CHEMBL2971	CHEMBL3665174	0.0398
CHEMBL2147	CHEMBL2017357	17.0
CHEMBL5407	CHEMBL3394073	4.0
CHEMBL258	CHEMBL1076199	18.0
CHEMBL2148	CHEMBL3893327	0.055
CHEMBL4523	CHEMBL3687497	0.74
CHEMBL258	CHEMBL209908	13.0
CHEMBL4501	CHEMBL3940462	2.5
CHEMBL260	CHEMBL475817	5.0
CHEMBL203	CHEMBL2029426	6.95
CHEMBL279	CHEMBL1980297	2.0
CHEMBL260	CHEMBL258223	5.4
CHEMBL301	CHEMBL3298985	2.0
CHEMBL2842	CHEMBL1242109	16.0
CHEMBL2971	CHEMBL1081975	8.0
CHEMBL2147	CHEMBL3925557	4.4
CHEMBL2148	CHEMBL3593770	3.4
CHEMBL2094126	CHEMBL365872	10.0
CHEMBL3920	CHEMBL576278	13.0
CHEMBL2508	CHEMBL3702095	7.6
CHEMBL4523	CHEMBL3652014	18.0
CHEMBL2996	CHEMBL2153755	6.3
CHEMBL2147	CHEMBL2443044	10.0
CHEMBL2971	CHEMBL3934891	30.0
CHEMBL1974	CHEMBL2203434	1.0
CHEMBL203	CHEMBL80540	3.0
CHEMBL2185	CHEMBL2022124	13.0
CHEMBL4282	CHEMBL3922798	4.1
CHEMBL258	CHEMBL117	5.0
CHEMBL4722	CHEMBL1650544	4.0
CHEMBL1955	CHEMBL1940118	22.0
CHEMBL2185	CHEMBL484951	8.0
CHEMBL5331	CHEMBL4067871	4.4
CHEMBL2363049	CHEMBL1090359	2.3
CHEMBL203	CHEMBL95692	10.0
CHEMBL3024	CHEMBL2204072	7.54
CHEMBL1936	CHEMBL1278146	2.0
CHEMBL5407	CHEMBL3959316	7.94
CHEMBL2148	CHEMBL2376151	10.0
CHEMBL1862	CHEMBL4067871	4.3
CHEMBL3553	CHEMBL4066236	20.1
CHEMBL5407	CHEMBL2147845	13.0
CHEMBL4501	CHEMBL3941451	0.9
CHEMBL2208	CHEMBL2443026	10.0
CHEMBL3529	CHEMBL3650704	30.0
CHEMBL2147	CHEMBL2030401	11.0
CHEMBL5407	CHEMBL3936230	11.81
CHEMBL2996	CHEMBL570047	5.2
CHEMBL2599	CHEMBL3936603	1.0
CHEMBL2147	CHEMBL3910446	0.28
CHEMBL1936	CHEMBL2336035	2.61
CHEMBL2147	CHEMBL3652007	4.0
CHEMBL1913	CHEMBL4060996	10.3
CHEMBL203	CHEMBL2437469	3.82
CHEMBL2815	CHEMBL3675927	4.2
CHEMBL4523	CHEMBL3981772	13.74
CHEMBL2147	CHEMBL3973689	9.0
CHEMBL1844	CHEMBL489684	0.3
CHEMBL279	CHEMBL215948	18.0
CHEMBL4282	CHEMBL2443044	10.0
CHEMBL1936	CHEMBL3644449	27.5
CHEMBL4501	CHEMBL3951639	1.4
CHEMBL4247	CHEMBL1796244	9.0
CHEMBL3553	CHEMBL4093813	22.7
CHEMBL1974	CHEMBL3237712	0.2
CHEMBL5543	CHEMBL3971170	1.63
CHEMBL4501	CHEMBL6291	15.0
CHEMBL3038477	CHEMBL3905479	10.0
CHEMBL2147	CHEMBL3691916	0.04
CHEMBL1955	CHEMBL1940108	0.4
CHEMBL1936	CHEMBL535	10.0
CHEMBL4523	CHEMBL3970766	1.63
CHEMBL4282	CHEMBL1098938	0.6
CHEMBL2971	CHEMBL4087655	11.0
CHEMBL2971	CHEMBL3962051	9.0
CHEMBL3038477	CHEMBL3907273	10.0
CHEMBL4142	CHEMBL3933449	11.75
CHEMBL3920	CHEMBL3975025	0.71
CHEMBL2828	CHEMBL3924829	4.1
CHEMBL4142	CHEMBL3892005	25.12
CHEMBL2276	CHEMBL377383	24.0
CHEMBL4142	CHEMBL3918092	1.66
CHEMBL2431	CHEMBL3965875	7.5
CHEMBL279	CHEMBL189691	8.0
CHEMBL2095188	CHEMBL362588	2.0
CHEMBL1906	CHEMBL3577121	5.6
CHEMBL3650	CHEMBL189584	28.0
CHEMBL3650	CHEMBL383618	10.0
CHEMBL279	CHEMBL3678953	21.0
CHEMBL3430907	CHEMBL1090156	26.0
CHEMBL2996	CHEMBL565612	1.3
